Year,Month,Imports,Exports
1979,Apr,7114,5740
1979,May,6884,6208
1979,Jun,6965,6335
1979,Jul,7542,6828
1979,Aug,7348,7563
1979,Sep,7648,7051
1979,Oct,8299,7118
1979,Nov,8232,7339
1979,Dec,8328,7493
1980,Jan,8132,7044
1980,Feb,7124,5919
1980,Mar,8959,6787
1980,Apr,9537,7690
1980,May,9456,8495
1980,Jun,8824,8457
1980,Jul,9193,8510
1980,Aug,9448,9465
1980,Sep,9388,8762
1980,Oct,9572,9005
1980,Nov,10901,8827
1980,Dec,11306,9391
1981,Jan,10685,9674
1981,Feb,9091,6817
1981,Mar,11326,9111
1981,Apr,11398,9172
1981,May,11737,10302
1981,Jun,11441,10097
1981,Jul,12314,10744
1981,Aug,11262,10951
1981,Sep,11710,11495
1981,Oct,12073,11225
1981,Nov,12497,10984
1981,Dec,13017,11700
1982,Jan,10023,9558
1982,Feb,11220,8290
1982,Mar,12178,10291
1982,Apr,12302,10130
1982,May,11340,10614
1982,Jun,11714,10404
1982,Jul,12376,11258
1982,Aug,11583,11355
1982,Sep,11826,10940
1982,Oct,12218,10702
1982,Nov,12199,11088
1982,Dec,14045,12887
1983,Jan,11537,10158
1983,Feb,10166,9004
1983,Mar,12440,10620
1983,Apr,13533,11783
1983,May,13933,12261
1983,Jun,14481,13309
1983,Jul,15184,14571
1983,Aug,15119,14822
1983,Sep,15494,14733
1983,Oct,17618,16193
1983,Nov,17036,16142
1983,Dec,18925,17141
1984,Jan,15899,16767
1984,Feb,14748,11915
1984,Mar,18144,17156
1984,Apr,18529,16539
1984,May,18869,18374
1984,Jun,19378,19141
1984,Jul,19816,20137
1984,Aug,19126,20910
1984,Sep,18587,19556
1984,Oct,19628,20369
1984,Nov,19747,19710
1984,Dec,20906,20907
1985,Jan,19119,20124
1985,Feb,14966,16817
1985,Mar,19915,17508
1985,Apr,19798,19159
1985,May,19216,20144
1985,Jun,19758,19297
1985,Jul,18862,20491
1985,Aug,19116,20800
1985,Sep,18177,19267
1985,Oct,19966,19598
1985,Nov,20333,20174
1985,Dec,22180,21791
1986,Jan,18806,19093
1986,Feb,16983,15223
1986,Mar,19883,18835
